name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
Sólo con tu pareja,Not Rated,Comedy,1991,6.9,3500,Alfonso Cuarón,Alfonso Cuarón,Daniel Giménez Cacho,Mexico,NA,9915,Esperanto Filmoj,December,NA
The Taking of Beverly Hills,R,Action,1991,5.1,1100,Sidney J. Furie,Sidney J. Furie,Ken Wahl,United States,19000000,939277,Nelson Entertainment,October,-18060723
Run,R,Action,1991,6.2,2600,Geoff Burrowes,Dennis Shryack,Patrick Dempsey,United States,16000000,4409328,Hollywood Pictures,February,-11590672
Paradise,PG-13,Drama,1991,6.7,2700,Mary Agnes Donoghue,Mary Agnes Donoghue,Melanie Griffith,United States,NA,18634643,Grand Highway Productions,October,NA
Madame Bovary,PG-13,Drama,1991,6.6,3600,Claude Chabrol,Gustave Flaubert,Isabelle Huppert,France,NA,1942423,MK2 Productions,December,NA
Company Business,PG-13,Action,1991,5.6,2600,Nicholas Meyer,Nicholas Meyer,Gene Hackman,United States,18000000,1501785,Pathé Entertainment,September,-16498215
Talent for the Game,PG,Drama,1991,6,796,Robert M. Young,David Himmelstein,Edward James Olmos,United States,NA,336396,Paramount Pictures,June,NA
City of Hope,R,Crime,1991,7.3,2300,John Sayles,John Sayles,Vincent Spano,United States,3000000,1345015,Esperanza Films Inc.,November,-1654985
Riff-Raff,R,Comedy,1991,7.1,4300,Ken Loach,Bill Jesse,Robert Carlyle,United Kingdom,NA,295444,Parallax Pictures,February,NA
The Object of Beauty,R,Comedy,1991,5.7,2000,Michael Lindsay-Hogg,Michael Lindsay-Hogg,John Malkovich,United Kingdom,NA,5136759,Avenue Pictures,April,NA
Liebestraum,R,Mystery,1991,5.9,1500,Mike Figgis,Mike Figgis,Kevin Anderson,United States,6900000,133645,Initial Entertainment Group (IEG),November,-6766355
Voyager,PG-13,Drama,1991,6.7,3100,Volker Schlöndorff,Max Frisch,Sam Shepard,Germany,NA,516517,Bioskop Film,January,NA
Closet Land,R,Drama,1991,7.1,2700,Radha Bharadwaj,Radha Bharadwaj,Madeleine Stowe,United States,4000000,259012,Imagine Entertainment,March,-3740988
Timebomb,R,Action,1991,5.4,1600,Avi Nesher,Avi Nesher,Michael Biehn,United States,6000000,NA,Raffaella Productions,May,NA
Crooked Hearts,R,Drama,1991,6,945,Michael Bortman,Robert Boswell,Peter Berg,United States,NA,30964,A&M Films,September,NA
The Unborn,R,Drama,1991,4.6,1100,Rodman Flender,John Brancato,Brooke Adams,United States,NA,1159578,Califilm,March,NA
Van Gogh,R,Biography,1991,7.2,2800,Maurice Pialat,Maurice Pialat,Jacques Dutronc,France,NA,193205,Erato Films,October,NA
Late for Dinner,PG,Drama,1991,6.4,1700,W.D. Richter,Mark Andrus,Peter Berg,United States,14000000,8906823,Castle Rock Entertainment,September,-5093177
Lovers: A True Story,R,Action,1991,7,2800,Vicente Aranda,Álvaro del Amo,Victoria Abril,Spain,NA,1407309,Pedro Costa Producciones Cinematográficas,April,NA
